"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"31124","NM_001322067.1",0.733381734023934,0.893552980748382,NA,0.133809796033878,0.402535644197813
"31125","NM_001354658.2",-0.728571971614532,0.621128406553626,NA,-0.494251735419248,0.85169232225984
"31126","NM_001005850.3",-0.139866219033489,0.91625093686702,NA,-0.105157370068943,0.911653999208127
"31127","NM_001369770.1",NA,NA,NA,NA,0
"31128","NM_001369771.1",NA,NA,NA,NA,0
"31129","NM_001369773.1",NA,NA,NA,NA,0
"31130","NM_001369772.1",NA,NA,NA,NA,0
"31131","NM_001146326.2",NA,NA,NA,NA,0
"31132","NM_001369774.1",NA,NA,NA,NA,0
"31133","NM_015363.5",NA,NA,NA,NA,0
"31134","NM_001369733.1",NA,NA,NA,NA,0
"31135","NM_001369724.1",NA,NA,NA,NA,0
"31136","NM_001369726.1",NA,NA,NA,NA,0
"31137","NM_001369731.1",NA,NA,NA,NA,0
"31138","NM_001369738.1",NA,NA,NA,NA,0
"31139","NM_001369730.1",NA,NA,NA,NA,0
"31140","NM_001369728.1",NA,NA,NA,NA,0
"31141","NM_001369723.1",NA,NA,NA,NA,0
"31142","NM_001369718.1",NA,NA,NA,NA,0
"31143","NM_001369719.1",NA,NA,NA,NA,0
"31144","NM_006210.3",NA,NA,NA,NA,0
"31145","NM_001369729.1",NA,NA,NA,NA,0
"31146","NM_001369727.1",NA,NA,NA,NA,0
"31147","NM_001369739.1",NA,NA,NA,NA,0
"31148","NM_001369734.1",NA,NA,NA,NA,0
"31149","NM_001146184.2",NA,NA,NA,NA,0
"31150","NM_001369736.1",NA,NA,NA,NA,0
"31151","NM_001146187.2",NA,NA,NA,NA,0
"31152","NM_001369735.1",NA,NA,NA,NA,0
"31153","NM_001146185.2",NA,NA,NA,NA,0
"31154","NM_001369720.1",NA,NA,NA,NA,0
"31155","NM_001369732.1",NA,NA,NA,NA,0
"31156","NM_001369722.1",NA,NA,NA,NA,0
"31157","NM_001369737.1",NA,NA,NA,NA,0
"31158","NM_001369717.1",NA,NA,NA,NA,0
"31159","NM_001369721.1",NA,NA,NA,NA,0
"31160","NM_001369725.1",NA,NA,NA,NA,0
"31161","NM_020903.2",NA,NA,NA,NA,0
"31162","NM_052882.1",-0.139820756936651,0.920764885472901,NA,-0.0994702781095555,0.711296619425842
"31163","NM_001015879.2",NA,NA,NA,NA,0
"31164","NM_001098496.2",0,1,NA,0,0.028265890320967
"31165","NM_001098495.2",NA,NA,NA,NA,0
"31166","NM_001291743.2",0,1,NA,0,0.0569552755649519
"31167","NM_001098494.2",NA,NA,NA,NA,0
"31168","NM_001291744.2",2.33497419293128,0.191901723565109,NA,1.30497393449635,0.922570367731596
"31169","NM_001277091.2",-1.10150130301711,0.631134036468997,NA,-0.480131295307755,0.711468658291356
"31170","NM_001277093.2",NA,NA,NA,NA,0
"31171","NM_001322306.2",-0.14180734386672,0.917002238546763,NA,-0.104210579390727,0.98005174286079
"31172","NM_001265597.3",-2.58851925951157,0.71969656622974,NA,-0.358864355262671,0.0869743565684479
"31173","NM_024833.3",-2.58840758005864,0.629306326188508,NA,-0.48270343180123,0.367898646204475
"31174","NM_001321375.2",0,1,NA,0,0.028265890320967
"31175","NM_001317027.2",0.451513522336343,0.77936237313697,NA,0.280150068146827,0.685542173763917
"31176","NM_133460.3",NA,NA,NA,NA,0
"31177","NM_001317030.2",0,1,NA,0,0.1384847876883
"31178","NM_001317028.2",1.69790654385512,0.761128431191527,NA,0.303999291157992,0.274890417522901
"31179","NM_001317029.2",-1.99414832752264,0.444318226011837,NA,-0.764921608195094,0.433747171653949
"31180","NM_182572.4",NA,NA,NA,NA,0
"31181","NM_001164527.1",NA,NA,NA,NA,0
"31182","NM_001164529.1",NA,NA,NA,NA,0
"31183","NM_001164530.1",0,1,NA,0,0.0267024957458248
"31184","NM_007134.1",NA,NA,NA,NA,0
"31185","NM_003436.4",NA,NA,NA,NA,0
"31186","NM_001320776.2",-0.564062215740898,0.694556841279169,NA,-0.392678650200126,0.79739393871182
"31187","NM_001320783.2",NA,NA,NA,NA,0
"31188","NM_001320777.2",-0.132980554680796,0.937260719080633,NA,-0.0787132338137505,0.988100080601699
"31189","NM_001320787.2",NA,NA,NA,NA,0
"31190","NM_001321116.2",-2.00465058793326,0.487473237451162,NA,-0.694333259925395,1.10626028443794
"31191","NM_001207009.2",0.891145240399119,0.784711042666442,NA,0.273184957317105,1.04368127487705
"31192","NM_138466.2",-2.35899004302873,0.162680048960231,NA,-1.39611439731192,0.811215356151393
"31193","NM_001195135.1",NA,NA,NA,NA,0
"31194","NM_001316978.2",-0.137527622830384,0.922510668743747,NA,-0.0972716506224382,0.797225462300145
"31195","NM_001316981.2",0,1,NA,0,0.0539983395250545
"31196","NM_001267033.2",0,1,NA,0,0.0296438858519437
"31197","NM_014512.1",NA,NA,NA,NA,0
"31198","NM_014513.2",NA,NA,NA,NA,0
"31199","NM_020535.3",NA,NA,NA,NA,0
"31200","NM_001083539.2",NA,NA,NA,NA,0
"31201","NM_001282170.1",NA,NA,NA,NA,0
"31202","NM_001282171.1",NA,NA,NA,NA,0
"31203","NM_002255.6",NA,NA,NA,NA,0
"31204","NM_014219.2",NA,NA,NA,NA,0
"31205","NM_012312.4",NA,NA,NA,NA,0
"31206","NM_001291695.1",NA,NA,NA,NA,0
"31207","NM_001291701.1",NA,NA,NA,NA,0
"31208","NM_001291696.1",NA,NA,NA,NA,0
"31209","NM_001291700.1",NA,NA,NA,NA,0
"31210","NM_001172654.2",NA,NA,NA,NA,0
"31211","NM_006865.4",NA,NA,NA,NA,0
"31212","NM_198988.2",NA,NA,NA,NA,0
"31213","NM_001322168.1",NA,NA,NA,NA,0
"31214","NM_012314.6",NA,NA,NA,NA,0
"31215","NM_012313.1",NA,NA,NA,NA,0
"31216","NM_001018081.1",NA,NA,NA,NA,0
"31217","NM_001360171.1",NA,NA,NA,NA,0
"31218","NM_001360167.1",0,1,NA,0,0.0269039109847979
"31219","NM_001368253.1",NA,NA,NA,NA,0
"31220","NM_001368254.1",NA,NA,NA,NA,0
"31221","NM_001368251.1",NA,NA,NA,NA,0
"31222","NM_001100631.2",NA,NA,NA,NA,0
"31223","NM_001077710.3",-0.139707078143223,0.95507848253836,NA,-0.0563305494304466,0.415315277055354
"31224","NM_001002919.3",-1.03862929880339,0.587204062928078,NA,-0.54289214737796,0.549004220900541
"31225","NM_001352681.1",0,1,NA,0,0.082361011036572
"31226","NM_018968.4",NA,NA,NA,NA,0
"31227","NM_001206744.2",NA,NA,NA,NA,0
"31228","NM_175722.3",NA,NA,NA,NA,0
"31229","NM_175721.3",NA,NA,NA,NA,0
"31230","NM_001329845.1",NA,NA,NA,NA,0
"31231","NM_001329848.1",NA,NA,NA,NA,0
"31232","NM_001329847.2",NA,NA,NA,NA,0
"31233","NM_001329844.2",NA,NA,NA,NA,0
"31234","NM_001303052.2",NA,NA,NA,NA,0
"31235","NM_015025.4",NA,NA,NA,NA,0
"31236","NM_001255984.2",NA,NA,NA,NA,0
"31237","NM_001255982.2",NA,NA,NA,NA,0
"31238","NM_024027.5",NA,NA,NA,NA,0
