alpha,beta
Vector,AlaAGC
Vector,AlaTGC
Vector,ArgACG
Vector,ArgTCG
Vector,ArgTCT
Vector,AsnGTT
Vector,GlnCTG
Vector,LeuCAG
Vector,LysTTT
Vector,Mock
Vector,iMet
