,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
3722,NM_015542.4,UPF2,0.174494757,0.405422491,1,0.831976001,47.77469782
13211,NM_015544.3,TMEM98,0.250878297,0.343762874,1,0.946756497,28.43852864
27770,NM_015545.4,PTCD1,0.826685599,0.902764416,1,0.122169961,0.031434899
1809,NM_015547.4,ACOT11,-0.019694952,0.953367778,1,-0.058478136,16.71826928
26161,NM_015548.5,DST,0.060737604,0.766689898,1,0.296707412,53.03241446
27138,NM_015550.4,OSBPL3,-0.036778345,0.969890519,1,-0.0377456,2.989446321
21307,NM_015551.2,SUSD5,-0.384554509,0.336437445,1,-0.96122819,11.12246641
449,NM_015554.3,GLCE,1.409775122,0.008028224,0.568708363,2.650880504,10.11546435
9558,NM_015556.4,SIPA1L1,1.43279246,0.311382691,1,1.012324987,1.684021815
803,NM_015557.3,CHD5,0.195967862,0.822060277,1,0.224895877,2.233398364
14577,NM_015559.3,SETBP1,0.218877452,0.619141384,1,0.497067596,10.05157869
22841,NM_015562.2,UBXN7,-0.032502827,0.861333361,1,-0.174677102,72.44749173
24836,NM_015564.3,LRRTM2,1.977182089,0.060807272,1,1.874894262,1.736333366
20031,NM_015565.3,LTN1,-0.107136992,0.622006142,1,-0.493009121,49.52365646
24349,NM_015566.3,FAM169A,0.008315792,0.976929233,1,0.028918948,24.22247497
19632,NM_015568.4,PPP1R16B,0.20715493,0.77825396,1,0.28159515,4.079834211
3026,NM_015569.5,DNM3,0,1,1,0,0.063690477
27475,NM_015570.4,AUTS2,-0.060333458,0.879446967,1,-0.15167032,11.46101106
26215,NM_015571.4,SENP6,-0.13847819,0.626986968,1,-0.485972071,27.7407921
23320,NM_015574.2,ANKRD17,-0.925726895,0.413593925,1,-0.817585474,1.703027273
19058,NM_015575.4,GIGYF2,0.074028909,0.787629317,1,0.269390343,30.0901972
21803,NM_015576.3,ERC2,0.013906538,0.985392528,1,0.018308774,3.199095475
24033,NM_015577.3,RAI14,-0.166248998,0.27717249,1,-1.086693041,89.82372603
13078,NM_015584.5,POLDIP2,-0.027511738,0.894605445,1,-0.132478984,198.696647
19411,NM_015585.4,CFAP61,0.285028833,0.82647563,1,0.219223911,0.894352223
9352,NM_015589.6,SAMD4A,0.123891089,0.809857238,1,0.240610207,7.065263964
22504,NM_015595.4,ARHGEF26,0.055349963,0.880103705,1,0.150837752,17.98058454
16674,NM_015596.3,KLK13,0.826685599,0.902764416,1,0.122169961,0.031434899
