,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
473,NM_001134231.2,NT5DC2,-1.9595515,0.000442645,0.013356076,-3.51325939,66.71676243
474,NM_014641.3,MDC1,-0.791836127,0.000439574,0.013356076,-3.515108935,107.5702386
475,NM_176880.6,NR2C2AP,-2.38156366,0.000450899,0.013535503,-3.508348092,20.14731241
476,NM_007122.5,USF1,-1.732622299,0.00045623,0.013661951,-3.505219832,39.90080399
477,NM_023928.5,AACS,-2.833761418,0.000457985,0.013661951,-3.504197637,18.15689257
478,NM_002484.4,NUBP1,-1.108196174,0.000457952,0.013661951,-3.504217015,37.21422477
479,NM_000979.4,RPL18,-1.284732916,0.000460762,0.013716082,-3.50258783,1679.26977
480,NM_006503.4,PSMC4,-0.983120851,0.000465172,0.013789773,-3.500049646,249.3219328
481,NM_001009.4,RPS5,-2.244863104,0.000464906,0.013789773,-3.500201926,1168.876288
482,NM_031989.5,PCBP2,-3.862137894,0.000467416,0.013798933,-3.498766351,92.55645741
483,NM_001035507.3,AGBL5,-1.212887625,0.00046695,0.013798933,-3.499032335,62.05047136
484,NM_003321.5,TUFM,-2.128900779,0.000470515,0.013861728,-3.497003762,203.1308026
485,NM_022152.6,TMBIM1,-0.605287518,0.000474815,0.013959553,-3.494576374,70.60700617
486,NM_002070.4,GNAI2,-1.632938606,0.00047593,0.013963542,-3.493950257,27.11817854
487,NM_001370089.1,CARM1,-1.483473537,0.000480331,0.014063732,-3.491492,31.72340025
488,NM_170738.4,MRPL11,-1.343325481,0.000482909,0.014081399,-3.490061543,30.76162704
489,NM_014584.3,ERO1A,0.598687344,0.000482637,0.014081399,3.490212278,93.11564117
490,NM_024308.4,DHRS11,-1.249361057,0.000485227,0.014120114,-3.488781676,31.8381041
491,NM_001358516.2,PRDX5,-2.039672534,0.000486309,0.014122773,-3.488186308,154.7423662
492,NM_001362761.2,TRA2A,0.684570617,0.000489666,0.014189334,3.486346827,64.16241338
493,NM_004095.4,EIF4EBP1,-3.038919247,0.000490591,0.014189334,-3.48584165,96.15947949
494,NM_004986.4,KTN1,0.568026957,0.000497279,0.014353636,3.482218012,138.8966265
495,NM_006401.3,ANP32B,0.407344415,0.000503173,0.014494426,3.479061658,669.9714585
496,NM_005879.3,TRAIP,-1.299389833,0.000508143,0.014608093,-3.476426646,24.19536977
497,NM_006110.3,CD2BP2,-1.683510071,0.000510931,0.014658669,-3.474959474,52.56825382
498,NM_001144831.2,PHB2,-0.994986033,0.00051364,0.014706805,-3.47354056,403.8171402
499,NM_032389.6,ARFGAP2,-1.545826299,0.000516255,0.014752055,-3.472177597,27.60782861
500,NM_004958.4,MTOR,-0.712425962,0.000524857,0.014880583,-3.467738937,55.23289967
501,NM_021034.3,IFITM3,-3.078261907,0.000529969,0.014880583,-3.465133197,145.7078072
502,NM_201441.3,TEAD4,-3.618507636,0.000530376,0.014880583,-3.464926781,9.234574711
503,NM_001933.5,DLST,-0.445503641,0.00052925,0.014880583,-3.465498193,180.2185866
504,NM_173701.2,WARS1,-1.220838633,0.000529336,0.014880583,-3.465454437,112.1499933
505,NM_001330499.2,WBP2,7.435893341,0.000525833,0.014880583,3.467239486,7.851539204
506,NM_032525.3,TUBB6,-5.686581567,0.000531189,0.014880583,-3.464515004,25.86070709
507,NM_001363674.2,ELOF1,-2.237455813,0.000529055,0.014880583,-3.465597414,56.00366007
508,NM_004341.5,CAD,-1.64441987,0.000523509,0.014880583,-3.468430149,68.52323547
509,NM_007363.5,NONO,-0.433330269,0.000530717,0.014880583,-3.464753939,851.260109
510,NM_001039182.4,BOLA2B,-2.790873491,0.000536651,0.015004118,-3.46176247,104.8230049
511,NM_001128912.2,PCBP2,-3.214418057,0.000540397,0.015021568,-3.459889612,21.98830507
512,NM_173542.4,PLBD2,-5.87879364,0.000538845,0.015021568,-3.460663897,8.925683083
513,NM_006384.4,CIB1,-1.474442913,0.000540435,0.015021568,-3.459870562,58.21642901
514,NM_014371.4,AKAP8L,-0.868069978,0.000543808,0.015085901,-3.458194991,133.286487
515,NM_001353598.2,ABCD4,-5.720555121,0.000548008,0.015172892,-3.456121855,5.231477168
516,NM_003365.3,UQCRC1,-1.738812036,0.00055006,0.015200206,-3.455114074,137.6854985
517,NM_015112.3,MAST2,-1.431180434,0.000552413,0.0152357,-3.453963082,36.57355053
518,NM_001294.4,CLPTM1,-1.967287304,0.000553557,0.015237769,-3.453405277,33.51961735
519,NM_016532.4,INPP5K,-1.632529718,0.000564923,0.01549084,-3.447919213,18.03948346
520,NM_001003796.2,SNU13,-0.934555566,0.00056484,0.01549084,-3.44795886,162.2657661
521,NM_015448.3,DPCD,-0.762929722,0.000566066,0.015492377,-3.447373441,111.8498211
522,NM_004078.3,CSRP1,-1.484534495,0.000570953,0.01550708,-3.445050425,39.68698403
523,NM_001321.3,CSRP2,-3.347966933,0.000569637,0.01550708,-3.445674012,167.2581912
524,NM_177983.3,PPM1G,-0.50841109,0.000569042,0.01550708,-3.445956411,270.9929225
525,NM_030793.5,FBXO38,2.215956912,0.000570495,0.01550708,3.445267438,13.27897976
526,NM_001367716.1,LARP1,-2.636331802,0.000573377,0.015526769,-3.443905155,63.30662068
527,NM_001004105.3,GRK6,-2.904956459,0.000573856,0.015526769,-3.443679461,17.73788641
528,NM_013248.3,NXT1,-0.78093575,0.000576907,0.01557977,-3.442245169,45.53054934
529,NM_003254.3,TIMP1,-1.785780298,0.000578744,0.015599822,-3.44138536,109.6707403
530,NM_024040.3,CUEDC2,-2.55016418,0.000580826,0.015626422,-3.440413336,103.8313342
531,NM_001320671.3,ZFP30,6.571663959,0.00058213,0.015631996,3.439806657,5.846484015
532,NM_015161.3,ARL6IP1,0.396410347,0.000586822,0.015728377,3.437633148,297.1592055
533,NM_012392.4,PEF1,-1.025127846,0.000589998,0.015765648,-3.436171055,108.1277546
534,NM_001300981.2,PPIA,0.958719884,0.000590424,0.015765648,3.435975665,96.73434948
535,NM_001025091.2,ABCF1,-0.594721695,0.000599081,0.015966897,-3.432030319,98.89100048
536,NM_005710.2,PQBP1,-2.685101743,0.000601423,0.015999422,-3.430971857,68.91736941
537,NM_198389.2,PDPN,-2.990384758,0.00060537,0.016065989,-3.429196781,16.15221427
538,NM_001077198.3,ATG9A,-4.201005472,0.000606179,0.016065989,-3.428834652,10.05736455
