,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5228,NM_014373.3,GPR160,0.286868005,0.230347848,0.466548636,1.199463298,41.02823815
5229,NM_003575.4,ZNF282,-0.828121725,0.230388405,0.466548636,-1.199358944,14.3788967
5230,NM_002306.4,LGALS3,0.234185217,0.230499619,0.466588883,1.199072851,62.23912819
5231,NM_001024924.2,EXOC1,0.289580166,0.230459191,0.466588883,1.199176839,38.52304815
5232,NM_003358.3,UGCG,0.386143245,0.23054047,0.466588883,1.198967791,20.63708205
5233,NM_001256308.2,DTNB,-0.714717369,0.230714065,0.466761795,-1.198521482,11.20325716
5234,NM_022121.5,PERP,0.208650308,0.230713262,0.466761795,1.198523545,78.6986529
5235,NM_000122.2,ERCC3,-0.211411694,0.230978855,0.467208232,-1.197841174,97.70016112
5236,NM_025188.4,TRIM45,-0.521789471,0.231095578,0.467355056,-1.19754146,13.37196381
5237,NM_001033719.3,ZNF404,0.286070805,0.231141278,0.467358219,1.197424144,48.40388545
5238,NM_001145446.2,ZNF200,0.553496211,0.231222698,0.467433592,1.19721517,11.42345602
5239,NM_001330232.2,NAP1L1,0.563236057,0.231395933,0.46769451,1.196770721,16.06348827
5240,NM_002968.3,SALL1,-0.442019161,0.231485804,0.467786866,-1.196540243,19.52483672
5241,NM_001008489.4,PHOSPHO2,0.473905902,0.231539216,0.467805525,1.196403296,16.07192526
5242,NM_016172.3,UBAC1,-0.631406963,0.231619279,0.467878014,-1.196198056,16.58823559
5243,NM_144643.4,SCLT1,0.473132121,0.231731811,0.468016049,1.19590967,14.17109269
5244,NM_021237.5,SELENOK,0.215184498,0.231898826,0.468264048,1.195481843,72.13161166
5245,NM_001170937.1,FUS,-0.293285043,0.232046256,0.468472413,-1.195104366,98.26211946
5246,NM_018509.4,LRRC59,-0.146709939,0.23223182,0.468757672,-1.194629494,235.3835928
5247,NM_001113402.2,AMN1,0.332551566,0.232373528,0.468937904,1.194267036,26.73062435
5248,NM_006897.3,HOXC9,0.439489727,0.232453967,0.468937904,1.194061359,17.79896572
